area,avgPrice,color,entertime,market,maxPrice,minPrice,name,province,standard,time,typy,unit
华东,1.30,none,2018-08-25,滕州市农副产品物流中心有限公司,1.80,1.20,韭菜,山东,none,2018-08-18,蔬菜,元/斤
华东,1.80,none,2018-08-25,滕州市农副产品物流中心有限公司,1.90,1.70,韭菜,山东,none,2018-08-13,蔬菜,元/斤
华东,1.60,none,2018-08-25,滕州市农副产品物流中心有限公司,1.80,1.50,韭菜,山东,none,2018-08-12,蔬菜,元/斤
华东,1.60,none,2018-08-25,滕州市农副产品物流中心有限公司,1.80,1.50,韭菜,山东,none,2018-08-08,蔬菜,元/斤
华东,1.60,none,2018-08-25,滕州市农副产品物流中心有限公司,1.80,1.50,韭菜,山东,none,2018-08-07,蔬菜,元/斤
华东,1.60,none,2018-08-25,滕州市农副产品物流中心有限公司,1.80,1.50,韭菜,山东,none,2018-08-06,蔬菜,元/斤
华东,1.60,none,2018-08-25,滕州市农副产品物流中心有限公司,1.80,1.50,韭菜,山东,none,2018-08-05,蔬菜,元/斤
华东,1.60,none,2018-08-25,滕州市农副产品物流中心有限公司,1.80,1.50,韭菜,山东,none,2018-08-04,蔬菜,元/斤
华东,1.60,none,2018-08-25,滕州市农副产品物流中心有限公司,1.80,1.50,韭菜,山东,none,2018-08-03,蔬菜,元/斤
华东,1.60,none,2018-08-25,滕州市农副产品物流中心有限公司,1.80,1.50,韭菜,山东,none,2018-08-02,蔬菜,元/斤
华东,1.50,none,2018-08-25,滕州市农副产品物流中心有限公司,1.80,1.40,韭菜,山东,none,2018-08-01,蔬菜,元/斤
华东,0.80,none,2018-08-25,滕州市农副产品物流中心有限公司,1.00,0.70,韭菜,山东,none,2018-07-31,蔬菜,元/斤
华东,1.00,none,2018-08-25,滕州市农副产品物流中心有限公司,1.20,0.80,韭菜,山东,none,2018-07-15,蔬菜,元/斤
华东,1.00,none,2018-08-25,滕州市农副产品物流中心有限公司,1.20,0.80,韭菜,山东,none,2018-07-14,蔬菜,元/斤
华东,1.00,none,2018-08-25,滕州市农副产品物流中心有限公司,1.20,0.80,韭菜,山东,none,2018-07-07,蔬菜,元/斤
华东,1.10,none,2018-08-25,滕州市农副产品物流中心有限公司,1.50,0.50,韭菜,山东,none,2018-07-01,蔬菜,元/斤
华东,0.80,none,2018-08-25,滕州市农副产品物流中心有限公司,1.30,0.60,韭菜,山东,none,2018-06-23,蔬菜,元/斤
华东,1.00,none,2018-08-25,滕州市农副产品物流中心有限公司,1.10,0.90,韭菜,山东,none,2018-06-10,蔬菜,元/斤
华东,1.10,none,2018-08-25,滕州市农副产品物流中心有限公司,1.20,0.90,韭菜,山东,none,2018-06-03,蔬菜,元/斤
华东,1.00,none,2018-08-25,滕州市农副产品物流中心有限公司,1.00,0.90,韭菜,山东,none,2018-05-29,蔬菜,元/斤
华东,1.10,none,2018-08-25,滕州市农副产品物流中心有限公司,1.20,1.00,韭菜,山东,none,2018-05-25,蔬菜,元/斤
华东,0.75,none,2018-08-25,滕州市农副产品物流中心有限公司,0.80,0.70,韭菜,山东,none,2018-05-24,蔬菜,元/斤
华东,0.80,none,2018-08-25,滕州市农副产品物流中心有限公司,0.90,0.75,韭菜,山东,none,2018-05-23,蔬菜,元/斤
华东,0.80,none,2018-08-25,滕州市农副产品物流中心有限公司,0.90,0.75,韭菜,山东,none,2018-05-22,蔬菜,元/斤
华东,0.90,none,2018-08-25,滕州市农副产品物流中心有限公司,1.00,0.85,韭菜,山东,none,2018-05-20,蔬菜,元/斤
华东,1.50,none,2018-08-25,滕州市农副产品物流中心有限公司,1.70,1.25,青椒,山东,none,2018-08-18,蔬菜,元/斤
华东,1.20,none,2018-08-25,滕州市农副产品物流中心有限公司,1.50,0.80,青椒,山东,none,2018-08-12,蔬菜,元/斤
华东,1.20,none,2018-08-25,滕州市农副产品物流中心有限公司,1.50,0.80,青椒,山东,none,2018-08-08,蔬菜,元/斤
华东,0.60,none,2018-08-25,滕州市农副产品物流中心有限公司,0.80,0.50,青椒,山东,none,2018-08-07,蔬菜,元/斤
华东,0.60,none,2018-08-25,滕州市农副产品物流中心有限公司,0.80,0.50,青椒,山东,none,2018-08-06,蔬菜,元/斤
华东,0.60,none,2018-08-25,滕州市农副产品物流中心有限公司,0.80,0.50,青椒,山东,none,2018-08-05,蔬菜,元/斤
华东,0.70,none,2018-08-25,滕州市农副产品物流中心有限公司,0.90,0.50,青椒,山东,none,2018-08-04,蔬菜,元/斤
华东,0.30,none,2018-08-25,滕州市农副产品物流中心有限公司,0.35,0.25,青椒,山东,none,2018-08-03,蔬菜,元/斤
华东,0.90,none,2018-08-25,滕州市农副产品物流中心有限公司,1.00,0.70,青椒,山东,none,2018-08-02,蔬菜,元/斤
华东,0.90,none,2018-08-25,滕州市农副产品物流中心有限公司,1.00,0.70,青椒,山东,none,2018-08-01,蔬菜,元/斤
华东,0.90,none,2018-08-25,滕州市农副产品物流中心有限公司,1.30,0.70,青椒,山东,none,2018-07-31,蔬菜,元/斤
华东,0.60,none,2018-08-25,滕州市农副产品物流中心有限公司,0.90,0.50,青椒,山东,none,2018-07-15,蔬菜,元/斤
华东,0.60,none,2018-08-25,滕州市农副产品物流中心有限公司,0.90,0.50,青椒,山东,none,2018-07-14,蔬菜,元/斤
华东,0.80,none,2018-08-25,滕州市农副产品物流中心有限公司,1.00,0.50,青椒,山东,none,2018-07-07,蔬菜,元/斤
华东,0.60,none,2018-08-25,滕州市农副产品物流中心有限公司,0.80,0.50,青椒,山东,none,2018-07-01,蔬菜,元/斤
华东,0.60,none,2018-08-25,滕州市农副产品物流中心有限公司,0.70,0.50,青椒,山东,none,2018-06-23,蔬菜,元/斤
华东,0.75,none,2018-08-25,滕州市农副产品物流中心有限公司,0.80,0.70,青椒,山东,none,2018-06-10,蔬菜,元/斤
华东,0.90,none,2018-08-25,滕州市农副产品物流中心有限公司,1.00,0.80,青椒,山东,none,2018-06-03,蔬菜,元/斤
华东,0.80,none,2018-08-25,滕州市农副产品物流中心有限公司,0.90,0.75,青椒,山东,none,2018-05-29,蔬菜,元/斤
华东,0.80,none,2018-08-25,滕州市农副产品物流中心有限公司,0.85,0.75,青椒,山东,none,2018-05-25,蔬菜,元/斤
华东,0.90,none,2018-08-25,滕州市农副产品物流中心有限公司,1.00,0.85,青椒,山东,none,2018-05-24,蔬菜,元/斤
华东,0.90,none,2018-08-25,滕州市农副产品物流中心有限公司,1.00,0.85,青椒,山东,none,2018-05-20,蔬菜,元/斤
华东,0.90,none,2018-08-25,滕州市农副产品物流中心有限公司,1.00,0.85,青椒,山东,none,2018-05-16,蔬菜,元/斤
华东,1.00,none,2018-08-25,滕州市农副产品物流中心有限公司,1.10,0.90,青椒,山东,none,2018-05-08,蔬菜,元/斤
华东,1.30,none,2018-08-25,滕州市农副产品物流中心有限公司,1.40,1.20,青椒,山东,none,2018-05-06,蔬菜,元/斤
华东,1.90,none,2018-08-25,滕州市农副产品物流中心有限公司,2.20,1.50,黄瓜,山东,none,2018-08-18,蔬菜,元/斤
华东,1.30,none,2018-08-25,滕州市农副产品物流中心有限公司,1.50,1.20,黄瓜,山东,none,2018-08-12,蔬菜,元/斤
华东,1.00,none,2018-08-25,滕州市农副产品物流中心有限公司,1.30,0.70,黄瓜,山东,none,2018-08-08,蔬菜,元/斤
华东,1.00,none,2018-08-25,滕州市农副产品物流中心有限公司,1.20,0.80,黄瓜,山东,none,2018-08-07,蔬菜,元/斤
华东,1.00,none,2018-08-25,滕州市农副产品物流中心有限公司,1.20,0.80,黄瓜,山东,none,2018-08-06,蔬菜,元/斤
华东,1.00,none,2018-08-25,滕州市农副产品物流中心有限公司,1.20,0.80,黄瓜,山东,none,2018-08-05,蔬菜,元/斤
华东,0.70,none,2018-08-25,滕州市农副产品物流中心有限公司,0.90,0.50,黄瓜,山东,none,2018-08-04,蔬菜,元/斤
华东,0.60,none,2018-08-25,滕州市农副产品物流中心有限公司,0.70,0.50,黄瓜,山东,none,2018-08-03,蔬菜,元/斤
