area,avgPrice,color,entertime,market,maxPrice,minPrice,name,province,standard,time,typy,unit
东北,2.80,none,2018-08-28,牡丹江地利农副产品有限公司,3.00,2.60,生姜,黑龙江,none,2018-08-22,蔬菜,元/斤
东北,2.80,none,2018-08-28,牡丹江地利农副产品有限公司,3.00,2.60,生姜,黑龙江,none,2018-08-15,蔬菜,元/斤
东北,2.80,none,2018-08-28,牡丹江地利农副产品有限公司,3.00,2.60,生姜,黑龙江,none,2018-08-08,蔬菜,元/斤
东北,1.00,none,2018-08-28,牡丹江地利农副产品有限公司,1.25,0.75,生姜,黑龙江,none,2018-08-03,蔬菜,元/斤
东北,3.50,none,2018-08-28,牡丹江地利农副产品有限公司,4.00,3.00,生姜,黑龙江,none,2018-07-07,蔬菜,元/斤
东北,4.00,none,2018-08-28,牡丹江地利农副产品有限公司,4.50,3.50,生姜,黑龙江,none,2018-05-02,蔬菜,元/斤
东北,3.70,none,2018-08-28,牡丹江地利农副产品有限公司,3.90,3.50,生姜,黑龙江,none,2018-04-20,蔬菜,元/斤
东北,3.70,none,2018-08-28,牡丹江地利农副产品有限公司,3.90,3.50,生姜,黑龙江,none,2018-04-17,蔬菜,元/斤
东北,3.70,none,2018-08-28,牡丹江地利农副产品有限公司,3.90,3.50,生姜,黑龙江,none,2018-04-12,蔬菜,元/斤
东北,3.50,none,2018-08-28,牡丹江地利农副产品有限公司,3.80,3.20,生姜,黑龙江,none,2018-03-29,蔬菜,元/斤
东北,3.50,none,2018-08-28,牡丹江地利农副产品有限公司,3.80,3.20,生姜,黑龙江,none,2018-03-26,蔬菜,元/斤
东北,3.50,none,2018-08-28,牡丹江地利农副产品有限公司,3.80,3.20,生姜,黑龙江,none,2018-03-21,蔬菜,元/斤
东北,3.50,none,2018-08-28,牡丹江地利农副产品有限公司,3.80,3.20,生姜,黑龙江,none,2018-03-15,蔬菜,元/斤
东北,3.70,none,2018-08-28,牡丹江地利农副产品有限公司,3.90,3.50,生姜,黑龙江,none,2018-01-17,蔬菜,元/斤
东北,3.70,none,2018-08-28,牡丹江地利农副产品有限公司,3.90,3.50,生姜,黑龙江,none,2018-01-15,蔬菜,元/斤
东北,3.70,none,2018-08-28,牡丹江地利农副产品有限公司,3.90,3.50,生姜,黑龙江,none,2018-01-10,蔬菜,元/斤
东北,3.70,none,2018-08-28,牡丹江地利农副产品有限公司,3.90,3.50,生姜,黑龙江,none,2018-01-09,蔬菜,元/斤
东北,3.70,none,2018-08-28,牡丹江地利农副产品有限公司,3.90,3.50,生姜,黑龙江,none,2018-01-03,蔬菜,元/斤
东北,3.70,none,2018-08-28,牡丹江地利农副产品有限公司,3.90,3.50,生姜,黑龙江,none,2017-12-26,蔬菜,元/斤
东北,3.70,none,2018-08-28,牡丹江地利农副产品有限公司,3.90,3.50,生姜,黑龙江,none,2017-12-20,蔬菜,元/斤
东北,3.50,none,2018-08-28,牡丹江地利农副产品有限公司,4.00,3.00,生姜,黑龙江,none,2017-12-05,蔬菜,元/斤
东北,3.50,none,2018-08-28,牡丹江地利农副产品有限公司,4.00,3.00,生姜,黑龙江,none,2017-11-29,蔬菜,元/斤
东北,4.50,none,2018-08-28,牡丹江地利农副产品有限公司,5.50,3.50,生姜,黑龙江,none,2017-11-13,蔬菜,元/斤
东北,4.50,none,2018-08-28,牡丹江地利农副产品有限公司,5.50,3.50,生姜,黑龙江,none,2017-11-09,蔬菜,元/斤
东北,4.50,none,2018-08-28,牡丹江地利农副产品有限公司,5.50,3.50,生姜,黑龙江,none,2017-11-08,蔬菜,元/斤
东北,6.50,none,2018-08-28,牡丹江地利农副产品有限公司,7.00,6.00,菠菜,黑龙江,none,2018-08-22,蔬菜,元/斤
东北,6.50,none,2018-08-28,牡丹江地利农副产品有限公司,7.00,6.00,菠菜,黑龙江,none,2018-08-21,蔬菜,元/斤
东北,6.50,none,2018-08-28,牡丹江地利农副产品有限公司,7.00,6.00,菠菜,黑龙江,none,2018-08-15,蔬菜,元/斤
东北,6.50,none,2018-08-28,牡丹江地利农副产品有限公司,7.00,6.00,菠菜,黑龙江,none,2018-08-08,蔬菜,元/斤
东北,5.00,none,2018-08-28,牡丹江地利农副产品有限公司,5.50,4.50,菠菜,黑龙江,none,2018-08-03,蔬菜,元/斤
东北,1.80,none,2018-08-28,牡丹江地利农副产品有限公司,1.90,1.70,菠菜,黑龙江,none,2018-07-07,蔬菜,元/斤
东北,2.00,none,2018-08-28,牡丹江地利农副产品有限公司,2.25,1.75,菠菜,黑龙江,none,2018-05-02,蔬菜,元/斤
东北,2.00,none,2018-08-28,牡丹江地利农副产品有限公司,2.20,1.80,菠菜,黑龙江,none,2018-04-20,蔬菜,元/斤
