area,avgPrice,color,entertime,market,maxPrice,minPrice,name,province,standard,time,typy,unit
西北,1.25,none,2018-08-23,甘肃腾胜农产品集团,1.50,1.00,白萝卜,甘肃,none,2018-08-01,蔬菜,元/斤
西北,1.00,none,2018-08-23,甘肃腾胜农产品集团,1.50,0.50,白萝卜,甘肃,none,2017-07-19,蔬菜,元/斤
西北,1.00,none,2018-08-23,甘肃腾胜农产品集团,1.50,0.50,白萝卜,甘肃,none,2017-07-12,蔬菜,元/斤
西北,1.00,none,2018-08-23,甘肃腾胜农产品集团,1.50,0.50,白萝卜,甘肃,none,2017-07-05,蔬菜,元/斤
西北,1.00,none,2018-08-23,甘肃腾胜农产品集团,1.50,0.50,白萝卜,甘肃,none,2017-06-21,蔬菜,元/斤
西北,1.00,none,2018-08-23,甘肃腾胜农产品集团,1.50,0.50,白萝卜,甘肃,none,2017-06-14,蔬菜,元/斤
西北,1.00,none,2018-08-23,甘肃腾胜农产品集团,1.50,0.50,白萝卜,甘肃,none,2017-05-31,蔬菜,元/斤
西北,0.42,none,2018-08-23,甘肃腾胜农产品集团,0.50,0.30,白萝卜,甘肃,none,2017-05-03,蔬菜,元/斤
西北,0.25,none,2018-08-23,甘肃腾胜农产品集团,0.30,0.20,白萝卜,甘肃,none,2017-02-22,蔬菜,元/斤
西北,0.40,none,2018-08-23,甘肃腾胜农产品集团,0.50,0.25,大葱,甘肃,none,2018-08-01,蔬菜,元/斤
西北,1.00,none,2018-08-23,甘肃腾胜农产品集团,1.50,0.50,大葱,甘肃,none,2017-07-19,蔬菜,元/斤
西北,1.00,none,2018-08-23,甘肃腾胜农产品集团,1.50,0.50,大葱,甘肃,none,2017-07-12,蔬菜,元/斤
西北,1.00,none,2018-08-23,甘肃腾胜农产品集团,1.50,0.50,大葱,甘肃,none,2017-07-05,蔬菜,元/斤
西北,1.00,none,2018-08-23,甘肃腾胜农产品集团,1.50,0.50,大葱,甘肃,none,2017-06-21,蔬菜,元/斤
西北,1.00,none,2018-08-23,甘肃腾胜农产品集团,1.50,0.50,大葱,甘肃,none,2017-06-14,蔬菜,元/斤
西北,1.00,none,2018-08-23,甘肃腾胜农产品集团,1.50,0.50,大葱,甘肃,none,2017-05-31,蔬菜,元/斤
西北,0.40,none,2018-08-23,甘肃腾胜农产品集团,0.50,0.31,大葱,甘肃,none,2017-05-03,蔬菜,元/斤
西北,0.40,none,2018-08-23,甘肃腾胜农产品集团,0.50,0.30,大葱,甘肃,none,2017-04-05,蔬菜,元/斤
西北,0.40,none,2018-08-23,甘肃腾胜农产品集团,0.50,0.30,大葱,甘肃,none,2017-03-22,蔬菜,元/斤
西北,0.40,none,2018-08-23,甘肃腾胜农产品集团,0.50,0.30,大葱,甘肃,none,2017-03-01,蔬菜,元/斤
西北,0.45,none,2018-08-23,甘肃腾胜农产品集团,0.50,0.40,大葱,甘肃,none,2017-02-22,蔬菜,元/斤
西北,1.25,none,2018-08-23,甘肃腾胜农产品集团,1.25,1.25,大葱,甘肃,none,2017-01-04,蔬菜,元/斤
西北,1.25,none,2018-08-23,甘肃腾胜农产品集团,1.50,1.00,韭菜,甘肃,none,2018-08-01,蔬菜,元/斤
西北,1.00,none,2018-08-23,甘肃腾胜农产品集团,1.50,0.50,韭菜,甘肃,none,2017-07-19,蔬菜,元/斤
西北,1.00,none,2018-08-23,甘肃腾胜农产品集团,1.50,0.50,韭菜,甘肃,none,2017-07-12,蔬菜,元/斤
西北,1.00,none,2018-08-23,甘肃腾胜农产品集团,1.50,0.50,韭菜,甘肃,none,2017-07-05,蔬菜,元/斤
西北,1.00,none,2018-08-23,甘肃腾胜农产品集团,1.50,0.50,韭菜,甘肃,none,2017-06-21,蔬菜,元/斤
西北,1.00,none,2018-08-23,甘肃腾胜农产品集团,1.50,0.50,韭菜,甘肃,none,2017-06-14,蔬菜,元/斤
西北,1.00,none,2018-08-23,甘肃腾胜农产品集团,1.50,0.50,韭菜,甘肃,none,2017-05-31,蔬菜,元/斤
西北,0.40,none,2018-08-23,甘肃腾胜农产品集团,0.50,0.30,韭菜,甘肃,none,2017-05-03,蔬菜,元/斤
西北,1.30,none,2018-08-23,甘肃腾胜农产品集团,1.50,1.25,韭菜,甘肃,none,2017-04-05,蔬菜,元/斤
西北,1.30,none,2018-08-23,甘肃腾胜农产品集团,1.50,1.25,韭菜,甘肃,none,2017-03-29,蔬菜,元/斤
西北,1.30,none,2018-08-23,甘肃腾胜农产品集团,1.50,1.25,韭菜,甘肃,none,2017-03-22,蔬菜,元/斤
西北,1.30,none,2018-08-23,甘肃腾胜农产品集团,1.50,1.25,韭菜,甘肃,none,2017-03-01,蔬菜,元/斤
西北,0.90,none,2018-08-23,甘肃腾胜农产品集团,1.00,0.75,韭菜,甘肃,none,2017-02-22,蔬菜,元/斤
西北,3.05,none,2018-08-23,甘肃腾胜农产品集团,3.05,3.05,韭菜,甘肃,none,2017-01-04,蔬菜,元/斤
