area,avgPrice,color,entertime,market,maxPrice,minPrice,name,province,standard,time,typy,unit
华东,0.68,none,2018-08-23,福建省福州市海峡蔬菜批发市场,1.23,0.10,冬瓜,福建,none,2018-08-18,蔬菜,元/斤
华东,0.60,none,2018-08-23,福建省福州市海峡蔬菜批发市场,1.18,0.10,冬瓜,福建,none,2018-08-15,蔬菜,元/斤
华东,0.56,none,2018-08-23,福建省福州市海峡蔬菜批发市场,1.08,0.07,冬瓜,福建,none,2018-08-12,蔬菜,元/斤
华东,0.55,none,2018-08-23,福建省福州市海峡蔬菜批发市场,1.18,0.10,冬瓜,福建,none,2018-08-08,蔬菜,元/斤
华东,0.53,none,2018-08-23,福建省福州市海峡蔬菜批发市场,1.13,0.10,冬瓜,福建,none,2018-08-07,蔬菜,元/斤
华东,0.52,none,2018-08-23,福建省福州市海峡蔬菜批发市场,1.18,0.10,冬瓜,福建,none,2018-08-06,蔬菜,元/斤
华东,0.54,none,2018-08-23,福建省福州市海峡蔬菜批发市场,1.18,0.10,冬瓜,福建,none,2018-08-05,蔬菜,元/斤
华东,0.53,none,2018-08-23,福建省福州市海峡蔬菜批发市场,1.18,0.18,冬瓜,福建,none,2018-08-04,蔬菜,元/斤
华东,0.53,none,2018-08-23,福建省福州市海峡蔬菜批发市场,1.18,0.10,冬瓜,福建,none,2018-08-03,蔬菜,元/斤
华东,0.54,none,2018-08-23,福建省福州市海峡蔬菜批发市场,1.08,0.10,冬瓜,福建,none,2018-08-02,蔬菜,元/斤
华东,0.51,none,2018-08-23,福建省福州市海峡蔬菜批发市场,1.16,0.10,冬瓜,福建,none,2018-08-01,蔬菜,元/斤
华东,0.52,none,2018-08-23,福建省福州市海峡蔬菜批发市场,1.08,0.10,冬瓜,福建,none,2018-07-31,蔬菜,元/斤
华东,0.39,none,2018-08-23,福建省福州市海峡蔬菜批发市场,1.18,0.10,冬瓜,福建,none,2018-07-14,蔬菜,元/斤
华东,0.47,none,2018-08-23,福建省福州市海峡蔬菜批发市场,1.18,0.10,冬瓜,福建,none,2018-06-23,蔬菜,元/斤
