area,avgPrice,color,entertime,market,maxPrice,minPrice,name,province,standard,time,typy,unit
西北,1.10,none,2018-08-24,西安市朱雀农产品交易中心,1.30,0.90,大葱,陕西,none,2018-08-07,蔬菜,元/斤
西北,0.90,none,2018-08-24,西安市朱雀农产品交易中心,1.10,0.70,大葱,陕西,none,2018-06-10,蔬菜,元/斤
西北,0.90,none,2018-08-24,西安市朱雀农产品交易中心,1.00,0.80,大葱,陕西,none,2018-05-23,蔬菜,元/斤
西北,0.75,none,2018-08-24,西安市朱雀农产品交易中心,0.80,0.70,大葱,陕西,none,2018-05-20,蔬菜,元/斤
西北,0.82,none,2018-08-24,西安市朱雀农产品交易中心,0.85,0.80,大葱,陕西,none,2018-05-16,蔬菜,元/斤
西北,0.82,none,2018-08-24,西安市朱雀农产品交易中心,0.85,0.80,大葱,陕西,none,2018-05-15,蔬菜,元/斤
西北,0.95,none,2018-08-24,西安市朱雀农产品交易中心,1.00,0.90,大葱,陕西,none,2018-05-12,蔬菜,元/斤
西北,0.85,none,2018-08-24,西安市朱雀农产品交易中心,0.90,0.80,大葱,陕西,none,2018-05-08,蔬菜,元/斤
西北,0.85,none,2018-08-24,西安市朱雀农产品交易中心,0.90,0.80,大葱,陕西,none,2018-05-02,蔬菜,元/斤
西北,0.87,none,2018-08-24,西安市朱雀农产品交易中心,0.90,0.85,大葱,陕西,none,2018-05-01,蔬菜,元/斤
西北,0.82,none,2018-08-24,西安市朱雀农产品交易中心,0.90,0.75,大葱,陕西,none,2018-04-28,蔬菜,元/斤
西北,0.80,none,2018-08-24,西安市朱雀农产品交易中心,0.90,0.70,大葱,陕西,none,2018-04-27,蔬菜,元/斤
西北,0.85,none,2018-08-24,西安市朱雀农产品交易中心,0.90,0.80,大葱,陕西,none,2018-04-26,蔬菜,元/斤
西北,0.85,none,2018-08-24,西安市朱雀农产品交易中心,0.90,0.80,大葱,陕西,none,2018-04-25,蔬菜,元/斤
西北,0.85,none,2018-08-24,西安市朱雀农产品交易中心,0.90,0.80,大葱,陕西,none,2018-04-24,蔬菜,元/斤
西北,0.65,none,2018-08-24,西安市朱雀农产品交易中心,0.70,0.60,大葱,陕西,none,2018-04-22,蔬菜,元/斤
西北,0.60,none,2018-08-24,西安市朱雀农产品交易中心,0.70,0.50,大葱,陕西,none,2018-04-21,蔬菜,元/斤
西北,0.70,none,2018-08-24,西安市朱雀农产品交易中心,0.80,0.60,大葱,陕西,none,2018-04-20,蔬菜,元/斤
