area,avgPrice,color,entertime,market,maxPrice,minPrice,name,province,standard,time,typy,unit
西北,1.65,none,2018-08-24,西部欣桥农产品物流中心,1.75,1.50,生菜,陕西,none,2018-08-17,蔬菜,元/斤
西北,1.65,none,2018-08-24,西部欣桥农产品物流中心,1.75,1.50,生菜,陕西,none,2018-08-13,蔬菜,元/斤
西北,1.65,none,2018-08-24,西部欣桥农产品物流中心,1.75,1.50,生菜,陕西,none,2018-08-11,蔬菜,元/斤
西北,1.65,none,2018-08-24,西部欣桥农产品物流中心,1.75,1.50,生菜,陕西,none,2018-08-09,蔬菜,元/斤
西北,1.65,none,2018-08-24,西部欣桥农产品物流中心,1.75,1.50,生菜,陕西,none,2018-08-06,蔬菜,元/斤
西北,1.65,none,2018-08-24,西部欣桥农产品物流中心,1.75,1.50,生菜,陕西,none,2018-08-04,蔬菜,元/斤
西北,1.65,none,2018-08-24,西部欣桥农产品物流中心,1.75,1.50,生菜,陕西,none,2018-08-03,蔬菜,元/斤
西北,1.65,none,2018-08-24,西部欣桥农产品物流中心,1.75,1.50,生菜,陕西,none,2018-08-01,蔬菜,元/斤
西北,1.65,none,2018-08-24,西部欣桥农产品物流中心,1.75,1.50,生菜,陕西,none,2018-05-31,蔬菜,元/斤
西北,1.65,none,2018-08-24,西部欣桥农产品物流中心,1.75,1.50,生菜,陕西,none,2018-05-29,蔬菜,元/斤
西北,1.65,none,2018-08-24,西部欣桥农产品物流中心,1.75,1.50,生菜,陕西,none,2018-05-25,蔬菜,元/斤
西北,1.65,none,2018-08-24,西部欣桥农产品物流中心,1.75,1.50,生菜,陕西,none,2018-05-24,蔬菜,元/斤
西北,1.65,none,2018-08-24,西部欣桥农产品物流中心,1.75,1.50,生菜,陕西,none,2018-05-23,蔬菜,元/斤
西北,1.65,none,2018-08-24,西部欣桥农产品物流中心,1.75,1.50,生菜,陕西,none,2018-05-22,蔬菜,元/斤
西北,1.65,none,2018-08-24,西部欣桥农产品物流中心,1.75,1.50,生菜,陕西,none,2018-05-16,蔬菜,元/斤
西北,1.65,none,2018-08-24,西部欣桥农产品物流中心,1.75,1.50,生菜,陕西,none,2018-05-15,蔬菜,元/斤
西北,1.65,none,2018-08-24,西部欣桥农产品物流中心,1.75,1.50,生菜,陕西,none,2018-05-14,蔬菜,元/斤
西北,2.00,none,2018-08-24,西部欣桥农产品物流中心,2.50,1.50,生菜,陕西,none,2018-05-05,蔬菜,元/斤
西北,2.00,none,2018-08-24,西部欣桥农产品物流中心,2.50,1.50,生菜,陕西,none,2018-05-04,蔬菜,元/斤
西北,2.00,none,2018-08-24,西部欣桥农产品物流中心,2.50,1.50,生菜,陕西,none,2018-05-02,蔬菜,元/斤
西北,2.00,none,2018-08-24,西部欣桥农产品物流中心,2.50,1.50,生菜,陕西,none,2018-04-28,蔬菜,元/斤
西北,2.00,none,2018-08-24,西部欣桥农产品物流中心,2.50,1.50,生菜,陕西,none,2018-04-25,蔬菜,元/斤
西北,2.00,none,2018-08-24,西部欣桥农产品物流中心,2.50,1.50,生菜,陕西,none,2018-04-24,蔬菜,元/斤
西北,2.00,none,2018-08-24,西部欣桥农产品物流中心,2.50,1.50,生菜,陕西,none,2018-04-21,蔬菜,元/斤
西北,2.00,none,2018-08-24,西部欣桥农产品物流中心,2.50,1.50,生菜,陕西,none,2018-04-17,蔬菜,元/斤
