area,avgPrice,color,entertime,market,maxPrice,minPrice,name,province,standard,time,typy,unit
华中,1.90,none,2018-08-24,邵阳市江北农产品批发大市场,2.00,1.80,大葱,湖南,none,2018-08-13,蔬菜,元/斤
华中,2.20,none,2018-08-24,邵阳市江北农产品批发大市场,2.30,2.10,大葱,湖南,none,2018-08-06,蔬菜,元/斤
华中,2.20,none,2018-08-24,邵阳市江北农产品批发大市场,2.30,2.10,大葱,湖南,none,2018-07-31,蔬菜,元/斤
华中,2.10,none,2018-08-24,邵阳市江北农产品批发大市场,2.20,2.00,大葱,湖南,none,2018-07-15,蔬菜,元/斤
华中,2.20,none,2018-08-24,邵阳市江北农产品批发大市场,2.30,2.10,大葱,湖南,none,2018-07-14,蔬菜,元/斤
华中,2.00,none,2018-08-24,邵阳市江北农产品批发大市场,2.20,1.80,大葱,湖南,none,2018-07-01,蔬菜,元/斤
华中,1.90,none,2018-08-24,邵阳市江北农产品批发大市场,2.00,1.80,大葱,湖南,none,2017-09-26,蔬菜,元/斤
华中,1.90,none,2018-08-24,邵阳市江北农产品批发大市场,2.00,1.80,大葱,湖南,none,2017-09-19,蔬菜,元/斤
华中,1.90,none,2018-08-24,邵阳市江北农产品批发大市场,2.10,1.70,大葱,湖南,none,2017-09-09,蔬菜,元/斤
华中,2.10,none,2018-08-24,邵阳市江北农产品批发大市场,2.20,1.90,大葱,湖南,none,2017-09-08,蔬菜,元/斤
华中,2.10,none,2018-08-24,邵阳市江北农产品批发大市场,2.20,1.90,大葱,湖南,none,2017-09-07,蔬菜,元/斤
华中,2.10,none,2018-08-24,邵阳市江北农产品批发大市场,2.20,1.90,大葱,湖南,none,2017-09-01,蔬菜,元/斤
华中,2.10,none,2018-08-24,邵阳市江北农产品批发大市场,2.20,1.90,大葱,湖南,none,2017-08-31,蔬菜,元/斤
华中,2.00,none,2018-08-24,邵阳市江北农产品批发大市场,2.00,2.00,大葱,湖南,none,2017-08-29,蔬菜,元/斤
华中,1.70,none,2018-08-24,邵阳市江北农产品批发大市场,1.90,1.50,大葱,湖南,none,2017-05-31,蔬菜,元/斤
华中,1.70,none,2018-08-24,邵阳市江北农产品批发大市场,1.90,1.50,大葱,湖南,none,2017-05-17,蔬菜,元/斤
华中,1.70,none,2018-08-24,邵阳市江北农产品批发大市场,1.90,1.50,大葱,湖南,none,2017-05-10,蔬菜,元/斤
华中,1.70,none,2018-08-24,邵阳市江北农产品批发大市场,1.90,1.50,大葱,湖南,none,2017-04-25,蔬菜,元/斤
华中,1.70,none,2018-08-24,邵阳市江北农产品批发大市场,1.90,1.50,大葱,湖南,none,2017-04-17,蔬菜,元/斤
华中,1.70,none,2018-08-24,邵阳市江北农产品批发大市场,1.90,1.50,大葱,湖南,none,2017-04-14,蔬菜,元/斤
华中,2.00,none,2018-08-24,邵阳市江北农产品批发大市场,2.00,2.00,大葱,湖南,none,2017-03-09,蔬菜,元/斤
华中,2.00,none,2018-08-24,邵阳市江北农产品批发大市场,2.00,2.00,大葱,湖南,none,2017-03-01,蔬菜,元/斤
华中,2.00,none,2018-08-24,邵阳市江北农产品批发大市场,2.20,1.80,大葱,湖南,none,2017-02-17,蔬菜,元/斤
华中,1.80,none,2018-08-24,邵阳市江北农产品批发大市场,2.10,1.50,大葱,湖南,none,2017-02-16,蔬菜,元/斤
华中,1.90,none,2018-08-24,邵阳市江北农产品批发大市场,2.20,1.60,大葱,湖南,none,2017-02-13,蔬菜,元/斤
华中,1.80,none,2018-08-24,邵阳市江北农产品批发大市场,1.90,1.60,韭菜,湖南,none,2017-09-26,蔬菜,元/斤
华中,1.80,none,2018-08-24,邵阳市江北农产品批发大市场,1.90,1.60,韭菜,湖南,none,2017-09-19,蔬菜,元/斤
华中,1.80,none,2018-08-24,邵阳市江北农产品批发大市场,1.90,1.60,韭菜,湖南,none,2017-09-09,蔬菜,元/斤
华中,1.80,none,2018-08-24,邵阳市江北农产品批发大市场,1.90,1.60,韭菜,湖南,none,2017-09-08,蔬菜,元/斤
华中,1.80,none,2018-08-24,邵阳市江北农产品批发大市场,1.90,1.60,韭菜,湖南,none,2017-09-07,蔬菜,元/斤
华中,1.80,none,2018-08-24,邵阳市江北农产品批发大市场,1.90,1.60,韭菜,湖南,none,2017-09-01,蔬菜,元/斤
华中,1.80,none,2018-08-24,邵阳市江北农产品批发大市场,1.90,1.60,韭菜,湖南,none,2017-08-31,蔬菜,元/斤
华中,1.80,none,2018-08-24,邵阳市江北农产品批发大市场,1.90,1.60,韭菜,湖南,none,2017-08-29,蔬菜,元/斤
华中,0.85,none,2018-08-24,邵阳市江北农产品批发大市场,1.00,0.70,青椒,湖南,none,2018-08-06,蔬菜,元/斤
华中,0.85,none,2018-08-24,邵阳市江北农产品批发大市场,1.00,0.70,青椒,湖南,none,2018-07-31,蔬菜,元/斤
华中,1.00,none,2018-08-24,邵阳市江北农产品批发大市场,1.20,0.80,青椒,湖南,none,2018-07-15,蔬菜,元/斤
华中,1.00,none,2018-08-24,邵阳市江北农产品批发大市场,1.20,0.80,青椒,湖南,none,2018-07-14,蔬菜,元/斤
华中,1.20,none,2018-08-24,邵阳市江北农产品批发大市场,1.30,1.10,青椒,湖南,none,2018-07-01,蔬菜,元/斤
华中,1.25,none,2018-08-24,邵阳市江北农产品批发大市场,1.40,1.15,青椒,湖南,none,2017-09-26,蔬菜,元/斤
华中,1.25,none,2018-08-24,邵阳市江北农产品批发大市场,1.40,1.15,青椒,湖南,none,2017-09-19,蔬菜,元/斤
华中,1.30,none,2018-08-24,邵阳市江北农产品批发大市场,1.40,1.20,青椒,湖南,none,2017-09-09,蔬菜,元/斤
华中,1.30,none,2018-08-24,邵阳市江北农产品批发大市场,1.40,1.20,青椒,湖南,none,2017-09-08,蔬菜,元/斤
华中,1.30,none,2018-08-24,邵阳市江北农产品批发大市场,1.40,1.20,青椒,湖南,none,2017-09-07,蔬菜,元/斤
华中,1.30,none,2018-08-24,邵阳市江北农产品批发大市场,1.40,1.20,青椒,湖南,none,2017-09-01,蔬菜,元/斤
华中,1.30,none,2018-08-24,邵阳市江北农产品批发大市场,1.40,1.20,青椒,湖南,none,2017-08-31,蔬菜,元/斤
华中,1.30,none,2018-08-24,邵阳市江北农产品批发大市场,1.40,1.20,青椒,湖南,none,2017-08-29,蔬菜,元/斤
华中,1.40,none,2018-08-24,邵阳市江北农产品批发大市场,1.60,1.20,青椒,湖南,none,2017-05-31,蔬菜,元/斤
华中,1.40,none,2018-08-24,邵阳市江北农产品批发大市场,1.60,1.20,青椒,湖南,none,2017-05-17,蔬菜,元/斤
华中,1.40,none,2018-08-24,邵阳市江北农产品批发大市场,1.60,1.20,青椒,湖南,none,2017-05-10,蔬菜,元/斤
华中,1.20,none,2018-08-24,邵阳市江北农产品批发大市场,1.40,1.00,青椒,湖南,none,2017-04-25,蔬菜,元/斤
华中,1.20,none,2018-08-24,邵阳市江北农产品批发大市场,1.40,1.00,青椒,湖南,none,2017-04-17,蔬菜,元/斤
华中,1.20,none,2018-08-24,邵阳市江北农产品批发大市场,1.40,1.00,青椒,湖南,none,2017-04-14,蔬菜,元/斤
华中,1.50,none,2018-08-24,邵阳市江北农产品批发大市场,1.70,1.30,青椒,湖南,none,2017-03-09,蔬菜,元/斤
华中,1.50,none,2018-08-24,邵阳市江北农产品批发大市场,1.70,1.30,青椒,湖南,none,2017-03-01,蔬菜,元/斤
华中,1.90,none,2018-08-24,邵阳市江北农产品批发大市场,2.00,1.80,青椒,湖南,none,2017-02-17,蔬菜,元/斤
华中,1.90,none,2018-08-24,邵阳市江北农产品批发大市场,2.00,1.80,青椒,湖南,none,2017-02-16,蔬菜,元/斤
华中,1.90,none,2018-08-24,邵阳市江北农产品批发大市场,2.00,1.80,青椒,湖南,none,2017-02-15,蔬菜,元/斤
华中,2.10,none,2018-08-24,邵阳市江北农产品批发大市场,2.20,2.00,青椒,湖南,none,2017-02-13,蔬菜,元/斤
华中,1.00,none,2018-08-24,邵阳市江北农产品批发大市场,1.30,0.70,黄瓜,湖南,none,2018-08-06,蔬菜,元/斤
华中,1.00,none,2018-08-24,邵阳市江北农产品批发大市场,1.30,0.70,黄瓜,湖南,none,2018-07-31,蔬菜,元/斤
华中,0.90,none,2018-08-24,邵阳市江北农产品批发大市场,1.00,0.80,黄瓜,湖南,none,2018-07-15,蔬菜,元/斤
华中,0.90,none,2018-08-24,邵阳市江北农产品批发大市场,1.00,0.80,黄瓜,湖南,none,2018-07-14,蔬菜,元/斤
华中,1.10,none,2018-08-24,邵阳市江北农产品批发大市场,1.20,1.00,黄瓜,湖南,none,2018-07-01,蔬菜,元/斤
华中,0.80,none,2018-08-24,邵阳市江北农产品批发大市场,0.90,0.70,黄瓜,湖南,none,2017-09-26,蔬菜,元/斤
华中,0.80,none,2018-08-24,邵阳市江北农产品批发大市场,0.90,0.70,黄瓜,湖南,none,2017-09-19,蔬菜,元/斤
华中,0.80,none,2018-08-24,邵阳市江北农产品批发大市场,0.80,0.80,黄瓜,湖南,none,2017-09-09,蔬菜,元/斤
华中,0.80,none,2018-08-24,邵阳市江北农产品批发大市场,0.80,0.80,黄瓜,湖南,none,2017-09-08,蔬菜,元/斤
华中,0.80,none,2018-08-24,邵阳市江北农产品批发大市场,0.80,0.80,黄瓜,湖南,none,2017-09-01,蔬菜,元/斤
华中,0.80,none,2018-08-24,邵阳市江北农产品批发大市场,0.80,0.80,黄瓜,湖南,none,2017-08-31,蔬菜,元/斤
华中,0.80,none,2018-08-24,邵阳市江北农产品批发大市场,0.80,0.80,黄瓜,湖南,none,2017-08-29,蔬菜,元/斤
华中,1.20,none,2018-08-24,邵阳市江北农产品批发大市场,1.30,1.10,黄瓜,湖南,none,2017-05-31,蔬菜,元/斤
