area,avgPrice,color,entertime,market,maxPrice,minPrice,name,province,standard,time,typy,unit
华东,7.65,none,2018-08-25,河南南阳果品批发交易市场,7.80,7.50,香菜,山东,none,2018-08-18,蔬菜,元/斤
华东,7.50,none,2018-08-25,河南南阳果品批发交易市场,8.00,7.00,香菜,山东,none,2018-08-15,蔬菜,元/斤
华东,7.50,none,2018-08-25,河南南阳果品批发交易市场,8.00,7.00,香菜,山东,none,2018-08-13,蔬菜,元/斤
华东,7.50,none,2018-08-25,河南南阳果品批发交易市场,8.00,7.00,香菜,山东,none,2018-08-12,蔬菜,元/斤
华东,6.75,none,2018-08-25,河南南阳果品批发交易市场,7.00,6.50,香菜,山东,none,2018-08-11,蔬菜,元/斤
华东,6.75,none,2018-08-25,河南南阳果品批发交易市场,7.00,6.50,香菜,山东,none,2018-08-09,蔬菜,元/斤
华东,6.75,none,2018-08-25,河南南阳果品批发交易市场,7.00,6.50,香菜,山东,none,2018-08-08,蔬菜,元/斤
华东,6.75,none,2018-08-25,河南南阳果品批发交易市场,7.00,6.50,香菜,山东,none,2018-08-07,蔬菜,元/斤
华东,6.40,none,2018-08-25,河南南阳果品批发交易市场,6.50,6.25,香菜,山东,none,2018-08-06,蔬菜,元/斤
华东,6.40,none,2018-08-25,河南南阳果品批发交易市场,6.50,6.25,香菜,山东,none,2018-08-05,蔬菜,元/斤
华东,6.40,none,2018-08-25,河南南阳果品批发交易市场,6.50,6.25,香菜,山东,none,2018-08-04,蔬菜,元/斤
华东,3.15,none,2018-08-25,河南南阳果品批发交易市场,3.25,3.00,香菜,山东,none,2018-08-03,蔬菜,元/斤
华东,3.15,none,2018-08-25,河南南阳果品批发交易市场,3.25,3.00,香菜,山东,none,2018-08-02,蔬菜,元/斤
华东,3.15,none,2018-08-25,河南南阳果品批发交易市场,3.25,3.00,香菜,山东,none,2018-08-01,蔬菜,元/斤
华东,3.15,none,2018-08-25,河南南阳果品批发交易市场,3.25,3.00,香菜,山东,none,2018-07-31,蔬菜,元/斤
华东,1.30,none,2018-08-25,河南南阳果品批发交易市场,1.40,1.20,香菜,山东,none,2018-07-15,蔬菜,元/斤
华东,1.30,none,2018-08-25,河南南阳果品批发交易市场,1.40,1.20,香菜,山东,none,2018-07-14,蔬菜,元/斤
华东,1.30,none,2018-08-25,河南南阳果品批发交易市场,1.40,1.20,香菜,山东,none,2018-07-07,蔬菜,元/斤
华东,1.30,none,2018-08-25,河南南阳果品批发交易市场,1.40,1.20,香菜,山东,none,2018-07-01,蔬菜,元/斤
华东,1.20,none,2018-08-25,河南南阳果品批发交易市场,1.30,1.10,香菜,山东,none,2018-06-23,蔬菜,元/斤
华东,2.90,none,2018-08-25,河南南阳果品批发交易市场,3.00,2.80,香菜,山东,none,2018-06-10,蔬菜,元/斤
华东,3.05,none,2018-08-25,河南南阳果品批发交易市场,3.20,2.90,香菜,山东,none,2018-06-03,蔬菜,元/斤
华东,2.90,none,2018-08-25,河南南阳果品批发交易市场,3.00,2.80,香菜,山东,none,2018-05-29,蔬菜,元/斤
华东,2.90,none,2018-08-25,河南南阳果品批发交易市场,3.00,2.80,香菜,山东,none,2018-05-25,蔬菜,元/斤
华东,2.90,none,2018-08-25,河南南阳果品批发交易市场,3.00,2.80,香菜,山东,none,2018-05-24,蔬菜,元/斤
华东,1.30,none,2018-08-25,河南南阳果品批发交易市场,1.50,1.10,西葫芦,山东,none,2018-08-18,蔬菜,元/斤
华东,1.30,none,2018-08-25,河南南阳果品批发交易市场,1.50,1.10,西葫芦,山东,none,2018-08-15,蔬菜,元/斤
华东,1.30,none,2018-08-25,河南南阳果品批发交易市场,1.50,1.10,西葫芦,山东,none,2018-08-12,蔬菜,元/斤
华东,1.00,none,2018-08-25,河南南阳果品批发交易市场,1.10,0.90,西葫芦,山东,none,2018-08-11,蔬菜,元/斤
华东,1.00,none,2018-08-25,河南南阳果品批发交易市场,1.10,0.90,西葫芦,山东,none,2018-08-08,蔬菜,元/斤
华东,1.00,none,2018-08-25,河南南阳果品批发交易市场,1.10,0.90,西葫芦,山东,none,2018-08-07,蔬菜,元/斤
华东,1.00,none,2018-08-25,河南南阳果品批发交易市场,1.10,0.90,西葫芦,山东,none,2018-08-06,蔬菜,元/斤
华东,1.00,none,2018-08-25,河南南阳果品批发交易市场,1.10,0.90,西葫芦,山东,none,2018-08-05,蔬菜,元/斤
华东,1.00,none,2018-08-25,河南南阳果品批发交易市场,1.10,0.90,西葫芦,山东,none,2018-08-04,蔬菜,元/斤
华东,0.45,none,2018-08-25,河南南阳果品批发交易市场,0.50,0.40,西葫芦,山东,none,2018-08-03,蔬菜,元/斤
华东,0.45,none,2018-08-25,河南南阳果品批发交易市场,0.50,0.40,西葫芦,山东,none,2018-08-02,蔬菜,元/斤
华东,0.45,none,2018-08-25,河南南阳果品批发交易市场,0.50,0.40,西葫芦,山东,none,2018-08-01,蔬菜,元/斤
华东,0.45,none,2018-08-25,河南南阳果品批发交易市场,0.50,0.40,西葫芦,山东,none,2018-07-31,蔬菜,元/斤
华东,0.75,none,2018-08-25,河南南阳果品批发交易市场,0.80,0.70,西葫芦,山东,none,2018-07-15,蔬菜,元/斤
华东,0.75,none,2018-08-25,河南南阳果品批发交易市场,0.80,0.70,西葫芦,山东,none,2018-07-14,蔬菜,元/斤
华东,0.75,none,2018-08-25,河南南阳果品批发交易市场,0.80,0.70,西葫芦,山东,none,2018-06-23,蔬菜,元/斤
华东,1.10,none,2018-08-25,河南南阳果品批发交易市场,1.20,1.00,西葫芦,山东,none,2018-06-10,蔬菜,元/斤
华东,1.80,none,2018-08-25,河南南阳果品批发交易市场,2.00,1.60,西葫芦,山东,none,2018-06-03,蔬菜,元/斤
华东,1.80,none,2018-08-25,河南南阳果品批发交易市场,2.00,1.60,西葫芦,山东,none,2018-05-29,蔬菜,元/斤
华东,1.80,none,2018-08-25,河南南阳果品批发交易市场,2.00,1.60,西葫芦,山东,none,2018-05-25,蔬菜,元/斤
华东,1.80,none,2018-08-25,河南南阳果品批发交易市场,2.00,1.60,西葫芦,山东,none,2018-05-24,蔬菜,元/斤
华东,1.00,none,2018-08-25,河南南阳果品批发交易市场,1.20,1.00,西葫芦,山东,none,2018-05-20,蔬菜,元/斤
华东,1.05,none,2018-08-25,河南南阳果品批发交易市场,1.20,0.90,西葫芦,山东,none,2018-05-16,蔬菜,元/斤
华东,0.75,none,2018-08-25,河南南阳果品批发交易市场,0.80,0.70,西葫芦,山东,none,2018-05-08,蔬菜,元/斤
华东,0.90,none,2018-08-25,河南南阳果品批发交易市场,1.00,0.80,西葫芦,山东,none,2018-05-06,蔬菜,元/斤
华东,1.90,none,2018-08-25,河南南阳果品批发交易市场,2.00,1.80,油菜,山东,none,2018-08-18,蔬菜,元/斤
华东,2.05,none,2018-08-25,河南南阳果品批发交易市场,2.10,2.00,油菜,山东,none,2018-08-17,蔬菜,元/斤
华东,2.05,none,2018-08-25,河南南阳果品批发交易市场,2.10,2.00,油菜,山东,none,2018-08-15,蔬菜,元/斤
华东,2.25,none,2018-08-25,河南南阳果品批发交易市场,2.50,2.00,油菜,山东,none,2018-08-13,蔬菜,元/斤
华东,2.25,none,2018-08-25,河南南阳果品批发交易市场,2.50,2.00,油菜,山东,none,2018-08-12,蔬菜,元/斤
华东,2.20,none,2018-08-25,河南南阳果品批发交易市场,2.40,2.00,油菜,山东,none,2018-08-11,蔬菜,元/斤
华东,1.90,none,2018-08-25,河南南阳果品批发交易市场,2.00,1.75,油菜,山东,none,2018-08-09,蔬菜,元/斤
华东,1.90,none,2018-08-25,河南南阳果品批发交易市场,2.00,1.75,油菜,山东,none,2018-08-08,蔬菜,元/斤
华东,1.90,none,2018-08-25,河南南阳果品批发交易市场,2.00,1.75,油菜,山东,none,2018-08-07,蔬菜,元/斤
华东,1.65,none,2018-08-25,河南南阳果品批发交易市场,1.80,1.50,油菜,山东,none,2018-08-06,蔬菜,元/斤
华东,1.65,none,2018-08-25,河南南阳果品批发交易市场,1.80,1.50,油菜,山东,none,2018-08-05,蔬菜,元/斤
华东,1.65,none,2018-08-25,河南南阳果品批发交易市场,1.80,1.50,油菜,山东,none,2018-08-04,蔬菜,元/斤
华东,0.80,none,2018-08-25,河南南阳果品批发交易市场,0.90,0.70,油菜,山东,none,2018-08-03,蔬菜,元/斤
华东,0.65,none,2018-08-25,河南南阳果品批发交易市场,0.75,0.50,油菜,山东,none,2018-08-02,蔬菜,元/斤
华东,0.65,none,2018-08-25,河南南阳果品批发交易市场,0.75,0.50,油菜,山东,none,2018-08-01,蔬菜,元/斤
华东,0.65,none,2018-08-25,河南南阳果品批发交易市场,0.75,0.50,油菜,山东,none,2018-07-31,蔬菜,元/斤
华东,0.75,none,2018-08-25,河南南阳果品批发交易市场,0.80,0.70,油菜,山东,none,2018-07-15,蔬菜,元/斤
华东,0.75,none,2018-08-25,河南南阳果品批发交易市场,0.80,0.70,油菜,山东,none,2018-07-14,蔬菜,元/斤
华东,0.75,none,2018-08-25,河南南阳果品批发交易市场,0.80,0.70,油菜,山东,none,2018-07-07,蔬菜,元/斤
华东,0.75,none,2018-08-25,河南南阳果品批发交易市场,0.80,0.70,油菜,山东,none,2018-07-01,蔬菜,元/斤
华东,0.75,none,2018-08-25,河南南阳果品批发交易市场,0.80,0.70,油菜,山东,none,2018-06-23,蔬菜,元/斤
华东,0.90,none,2018-08-25,河南南阳果品批发交易市场,1.00,0.80,油菜,山东,none,2018-06-10,蔬菜,元/斤
华东,0.80,none,2018-08-25,河南南阳果品批发交易市场,0.90,0.70,油菜,山东,none,2018-06-03,蔬菜,元/斤
华东,0.65,none,2018-08-25,河南南阳果品批发交易市场,0.70,0.60,油菜,山东,none,2018-05-29,蔬菜,元/斤
华东,0.65,none,2018-08-25,河南南阳果品批发交易市场,0.70,0.60,油菜,山东,none,2018-05-25,蔬菜,元/斤
华东,1.40,none,2018-08-25,河南南阳果品批发交易市场,1.50,1.25,生姜,山东,none,2018-08-18,蔬菜,元/斤
华东,1.40,none,2018-08-25,河南南阳果品批发交易市场,1.50,1.25,生姜,山东,none,2018-08-15,蔬菜,元/斤
华东,1.90,none,2018-08-25,河南南阳果品批发交易市场,2.00,1.80,生姜,山东,none,2018-08-13,蔬菜,元/斤
华东,1.90,none,2018-08-25,河南南阳果品批发交易市场,2.00,1.80,生姜,山东,none,2018-08-12,蔬菜,元/斤
华东,1.90,none,2018-08-25,河南南阳果品批发交易市场,2.00,1.80,生姜,山东,none,2018-08-11,蔬菜,元/斤
华东,1.90,none,2018-08-25,河南南阳果品批发交易市场,2.00,1.80,生姜,山东,none,2018-08-09,蔬菜,元/斤
华东,1.90,none,2018-08-25,河南南阳果品批发交易市场,2.00,1.80,生姜,山东,none,2018-08-08,蔬菜,元/斤
华东,1.90,none,2018-08-25,河南南阳果品批发交易市场,2.00,1.80,生姜,山东,none,2018-08-07,蔬菜,元/斤
华东,1.90,none,2018-08-25,河南南阳果品批发交易市场,2.00,1.80,生姜,山东,none,2018-08-06,蔬菜,元/斤
华东,1.90,none,2018-08-25,河南南阳果品批发交易市场,2.00,1.80,生姜,山东,none,2018-08-05,蔬菜,元/斤
华东,1.90,none,2018-08-25,河南南阳果品批发交易市场,2.00,1.80,生姜,山东,none,2018-08-04,蔬菜,元/斤
华东,0.90,none,2018-08-25,河南南阳果品批发交易市场,1.00,0.80,生姜,山东,none,2018-08-03,蔬菜,元/斤
华东,0.90,none,2018-08-25,河南南阳果品批发交易市场,1.00,0.80,生姜,山东,none,2018-08-02,蔬菜,元/斤
华东,0.90,none,2018-08-25,河南南阳果品批发交易市场,1.00,0.80,生姜,山东,none,2018-08-01,蔬菜,元/斤
华东,0.90,none,2018-08-25,河南南阳果品批发交易市场,1.00,0.80,生姜,山东,none,2018-07-31,蔬菜,元/斤
华东,1.45,none,2018-08-25,河南南阳果品批发交易市场,2.00,1.40,生姜,山东,none,2018-07-15,蔬菜,元/斤
华东,1.45,none,2018-08-25,河南南阳果品批发交易市场,2.00,1.40,生姜,山东,none,2018-07-14,蔬菜,元/斤
华东,1.45,none,2018-08-25,河南南阳果品批发交易市场,2.00,1.40,生姜,山东,none,2018-07-07,蔬菜,元/斤
华东,1.45,none,2018-08-25,河南南阳果品批发交易市场,1.50,1.40,生姜,山东,none,2018-07-01,蔬菜,元/斤
华东,1.40,none,2018-08-25,河南南阳果品批发交易市场,1.50,1.30,生姜,山东,none,2018-06-23,蔬菜,元/斤
华东,1.40,none,2018-08-25,河南南阳果品批发交易市场,1.50,1.30,生姜,山东,none,2018-06-10,蔬菜,元/斤
华东,1.40,none,2018-08-25,河南南阳果品批发交易市场,1.50,1.30,生姜,山东,none,2018-06-03,蔬菜,元/斤
华东,1.40,none,2018-08-25,河南南阳果品批发交易市场,1.50,1.30,生姜,山东,none,2018-05-29,蔬菜,元/斤
华东,1.40,none,2018-08-25,河南南阳果品批发交易市场,1.50,1.30,生姜,山东,none,2018-05-25,蔬菜,元/斤
华东,1.40,none,2018-08-25,河南南阳果品批发交易市场,1.50,1.30,生姜,山东,none,2018-05-24,蔬菜,元/斤
华东,6.25,none,2018-08-25,河南南阳果品批发交易市场,6.50,6.10,菠菜,山东,none,2018-08-18,蔬菜,元/斤
华东,6.25,none,2018-08-25,河南南阳果品批发交易市场,6.50,6.10,菠菜,山东,none,2018-08-15,蔬菜,元/斤
华东,6.25,none,2018-08-25,河南南阳果品批发交易市场,6.50,6.10,菠菜,山东,none,2018-08-13,蔬菜,元/斤
华东,6.25,none,2018-08-25,河南南阳果品批发交易市场,6.50,6.10,菠菜,山东,none,2018-08-12,蔬菜,元/斤
华东,6.25,none,2018-08-25,河南南阳果品批发交易市场,6.50,6.10,菠菜,山东,none,2018-08-11,蔬菜,元/斤
华东,6.25,none,2018-08-25,河南南阳果品批发交易市场,6.50,6.10,菠菜,山东,none,2018-08-09,蔬菜,元/斤
华东,6.25,none,2018-08-25,河南南阳果品批发交易市场,6.50,6.10,菠菜,山东,none,2018-08-08,蔬菜,元/斤
华东,6.25,none,2018-08-25,河南南阳果品批发交易市场,6.50,6.10,菠菜,山东,none,2018-08-07,蔬菜,元/斤
华东,6.50,none,2018-08-25,河南南阳果品批发交易市场,6.60,6.40,菠菜,山东,none,2018-08-06,蔬菜,元/斤
华东,6.50,none,2018-08-25,河南南阳果品批发交易市场,6.60,6.40,菠菜,山东,none,2018-08-05,蔬菜,元/斤
华东,6.50,none,2018-08-25,河南南阳果品批发交易市场,6.60,6.40,菠菜,山东,none,2018-08-04,蔬菜,元/斤
华东,3.15,none,2018-08-25,河南南阳果品批发交易市场,3.30,3.00,菠菜,山东,none,2018-08-03,蔬菜,元/斤
华东,2.75,none,2018-08-25,河南南阳果品批发交易市场,3.00,2.50,菠菜,山东,none,2018-08-02,蔬菜,元/斤
华东,2.75,none,2018-08-25,河南南阳果品批发交易市场,3.00,2.50,菠菜,山东,none,2018-08-01,蔬菜,元/斤
华东,2.75,none,2018-08-25,河南南阳果品批发交易市场,3.00,2.50,菠菜,山东,none,2018-07-31,蔬菜,元/斤
华东,1.65,none,2018-08-25,河南南阳果品批发交易市场,1.75,1.50,菠菜,山东,none,2018-07-15,蔬菜,元/斤
华东,1.65,none,2018-08-25,河南南阳果品批发交易市场,1.75,1.50,菠菜,山东,none,2018-07-14,蔬菜,元/斤
华东,1.65,none,2018-08-25,河南南阳果品批发交易市场,1.75,1.50,菠菜,山东,none,2018-07-07,蔬菜,元/斤
华东,0.95,none,2018-08-25,河南南阳果品批发交易市场,1.00,0.90,菠菜,山东,none,2018-07-01,蔬菜,元/斤
华东,0.95,none,2018-08-25,河南南阳果品批发交易市场,1.00,0.90,菠菜,山东,none,2018-06-23,蔬菜,元/斤
华东,1.40,none,2018-08-25,河南南阳果品批发交易市场,1.50,1.30,菠菜,山东,none,2018-06-10,蔬菜,元/斤
