area,avgPrice,color,entertime,market,maxPrice,minPrice,name,province,standard,time,typy,unit
华东,1.57,none,2018-08-25,金乡县大蒜市场,1.62,1.52,白蒜6.0公分,山东,none,2018-08-18,蔬菜,元/斤
华东,1.50,none,2018-08-25,金乡县大蒜市场,1.55,1.45,白蒜6.0公分,山东,none,2018-08-15,蔬菜,元/斤
华东,1.48,none,2018-08-25,金乡县大蒜市场,1.52,1.45,白蒜6.0公分,山东,none,2018-08-13,蔬菜,元/斤
华东,1.48,none,2018-08-25,金乡县大蒜市场,1.52,1.45,白蒜6.0公分,山东,none,2018-08-12,蔬菜,元/斤
华东,1.45,none,2018-08-25,金乡县大蒜市场,1.50,1.40,白蒜6.0公分,山东,none,2018-08-11,蔬菜,元/斤
华东,1.30,none,2018-08-25,金乡县大蒜市场,1.35,1.25,白蒜6.0公分,山东,none,2018-08-08,蔬菜,元/斤
华东,1.31,none,2018-08-25,金乡县大蒜市场,1.36,1.26,白蒜6.0公分,山东,none,2018-08-07,蔬菜,元/斤
华东,1.32,none,2018-08-25,金乡县大蒜市场,1.36,1.28,白蒜6.0公分,山东,none,2018-08-06,蔬菜,元/斤
华东,1.32,none,2018-08-25,金乡县大蒜市场,1.36,1.28,白蒜6.0公分,山东,none,2018-08-05,蔬菜,元/斤
华东,1.30,none,2018-08-25,金乡县大蒜市场,1.35,1.25,白蒜6.0公分,山东,none,2018-08-04,蔬菜,元/斤
华东,1.30,none,2018-08-25,金乡县大蒜市场,1.35,1.25,白蒜6.0公分,山东,none,2018-08-03,蔬菜,元/斤
华东,1.30,none,2018-08-25,金乡县大蒜市场,1.35,1.25,白蒜6.0公分,山东,none,2018-08-02,蔬菜,元/斤
华东,1.30,none,2018-08-25,金乡县大蒜市场,1.35,1.26,白蒜6.0公分,山东,none,2018-08-01,蔬菜,元/斤
华东,1.29,none,2018-08-25,金乡县大蒜市场,1.33,1.25,白蒜6.0公分,山东,none,2018-07-31,蔬菜,元/斤
华东,1.25,none,2018-08-25,金乡县大蒜市场,1.30,1.20,白蒜6.0公分,山东,none,2018-07-15,蔬菜,元/斤
