area,avgPrice,color,entertime,market,maxPrice,minPrice,name,province,standard,time,typy,unit
华东,2.50,none,2018-08-25,青岛黄河路农产品批发市场,3.00,2.00,韭菜,山东,none,2018-08-18,蔬菜,元/斤
华东,2.50,none,2018-08-25,青岛黄河路农产品批发市场,3.00,2.00,韭菜,山东,none,2018-08-15,蔬菜,元/斤
华东,2.50,none,2018-08-25,青岛黄河路农产品批发市场,3.00,2.00,韭菜,山东,none,2018-08-13,蔬菜,元/斤
华东,2.50,none,2018-08-25,青岛黄河路农产品批发市场,3.00,2.00,韭菜,山东,none,2018-08-11,蔬菜,元/斤
华东,1.40,none,2018-08-25,青岛黄河路农产品批发市场,1.50,1.30,韭菜,山东,none,2018-08-09,蔬菜,元/斤
华东,1.40,none,2018-08-25,青岛黄河路农产品批发市场,1.50,1.30,韭菜,山东,none,2018-08-08,蔬菜,元/斤
华东,1.40,none,2018-08-25,青岛黄河路农产品批发市场,1.50,1.30,韭菜,山东,none,2018-08-06,蔬菜,元/斤
华东,1.40,none,2018-08-25,青岛黄河路农产品批发市场,1.50,1.30,韭菜,山东,none,2018-08-04,蔬菜,元/斤
华东,1.40,none,2018-08-25,青岛黄河路农产品批发市场,1.50,1.30,韭菜,山东,none,2018-08-02,蔬菜,元/斤
华东,1.40,none,2018-08-25,青岛黄河路农产品批发市场,1.50,1.30,韭菜,山东,none,2018-08-01,蔬菜,元/斤
华东,1.40,none,2018-08-25,青岛黄河路农产品批发市场,1.50,1.30,韭菜,山东,none,2018-07-31,蔬菜,元/斤
华东,0.95,none,2018-08-25,青岛黄河路农产品批发市场,1.00,0.90,韭菜,山东,none,2018-07-14,蔬菜,元/斤
华东,0.95,none,2018-08-25,青岛黄河路农产品批发市场,1.00,0.90,韭菜,山东,none,2018-07-07,蔬菜,元/斤
华东,1.00,none,2018-08-25,青岛黄河路农产品批发市场,1.00,1.00,韭菜,山东,none,2018-06-23,蔬菜,元/斤
华东,1.10,none,2018-08-25,青岛黄河路农产品批发市场,1.20,1.00,韭菜,山东,none,2018-05-29,蔬菜,元/斤
华东,1.10,none,2018-08-25,青岛黄河路农产品批发市场,1.20,1.00,韭菜,山东,none,2018-05-25,蔬菜,元/斤
华东,1.10,none,2018-08-25,青岛黄河路农产品批发市场,1.20,1.00,韭菜,山东,none,2018-05-24,蔬菜,元/斤
华东,1.10,none,2018-08-25,青岛黄河路农产品批发市场,1.20,1.00,韭菜,山东,none,2018-05-23,蔬菜,元/斤
华东,1.10,none,2018-08-25,青岛黄河路农产品批发市场,1.20,1.00,韭菜,山东,none,2018-05-22,蔬菜,元/斤
华东,1.25,none,2018-08-25,青岛黄河路农产品批发市场,1.50,1.00,韭菜,山东,none,2018-05-16,蔬菜,元/斤
华东,1.25,none,2018-08-25,青岛黄河路农产品批发市场,1.50,1.00,韭菜,山东,none,2018-05-15,蔬菜,元/斤
华东,1.25,none,2018-08-25,青岛黄河路农产品批发市场,1.50,1.00,韭菜,山东,none,2018-05-14,蔬菜,元/斤
华东,1.25,none,2018-08-25,青岛黄河路农产品批发市场,1.50,1.00,韭菜,山东,none,2018-05-08,蔬菜,元/斤
华东,1.25,none,2018-08-25,青岛黄河路农产品批发市场,1.50,1.00,韭菜,山东,none,2018-05-07,蔬菜,元/斤
华东,1.15,none,2018-08-25,青岛黄河路农产品批发市场,1.30,1.00,韭菜,山东,none,2018-05-03,蔬菜,元/斤
华东,2.00,none,2018-08-25,青岛黄河路农产品批发市场,2.50,1.50,青椒,山东,none,2018-08-18,蔬菜,元/斤
华东,2.00,none,2018-08-25,青岛黄河路农产品批发市场,2.50,1.50,青椒,山东,none,2018-08-15,蔬菜,元/斤
华东,2.00,none,2018-08-25,青岛黄河路农产品批发市场,2.50,1.50,青椒,山东,none,2018-08-11,蔬菜,元/斤
华东,1.75,none,2018-08-25,青岛黄河路农产品批发市场,2.00,1.50,青椒,山东,none,2018-08-08,蔬菜,元/斤
华东,1.75,none,2018-08-25,青岛黄河路农产品批发市场,2.00,1.50,青椒,山东,none,2018-08-06,蔬菜,元/斤
华东,1.75,none,2018-08-25,青岛黄河路农产品批发市场,2.00,1.50,青椒,山东,none,2018-08-04,蔬菜,元/斤
华东,1.75,none,2018-08-25,青岛黄河路农产品批发市场,2.00,1.50,青椒,山东,none,2018-08-02,蔬菜,元/斤
华东,1.75,none,2018-08-25,青岛黄河路农产品批发市场,2.00,1.50,青椒,山东,none,2018-08-01,蔬菜,元/斤
华东,1.75,none,2018-08-25,青岛黄河路农产品批发市场,2.00,1.50,青椒,山东,none,2018-07-31,蔬菜,元/斤
华东,1.75,none,2018-08-25,青岛黄河路农产品批发市场,2.00,1.50,青椒,山东,none,2018-07-14,蔬菜,元/斤
华东,1.75,none,2018-08-25,青岛黄河路农产品批发市场,2.00,1.50,青椒,山东,none,2018-07-07,蔬菜,元/斤
华东,2.15,none,2018-08-25,青岛黄河路农产品批发市场,2.50,1.80,青椒,山东,none,2018-06-23,蔬菜,元/斤
华东,1.50,none,2018-08-25,青岛黄河路农产品批发市场,1.50,1.50,青椒,山东,none,2018-05-29,蔬菜,元/斤
华东,1.50,none,2018-08-25,青岛黄河路农产品批发市场,1.50,1.50,青椒,山东,none,2018-05-25,蔬菜,元/斤
