area,avgPrice,color,entertime,market,maxPrice,minPrice,name,province,standard,time,typy,unit
华东,2.00,none,2018-08-25,马鞍山市安民农副产品批发交易中心,2.00,2.00,大葱,安徽,none,2018-08-18,蔬菜,元/斤
华东,2.10,none,2018-08-25,马鞍山市安民农副产品批发交易中心,2.20,2.00,大葱,安徽,none,2018-08-15,蔬菜,元/斤
华东,1.95,none,2018-08-25,马鞍山市安民农副产品批发交易中心,2.00,1.90,大葱,安徽,none,2018-08-13,蔬菜,元/斤
华东,1.95,none,2018-08-25,马鞍山市安民农副产品批发交易中心,2.00,1.90,大葱,安徽,none,2018-08-12,蔬菜,元/斤
华东,1.85,none,2018-08-25,马鞍山市安民农副产品批发交易中心,2.00,1.70,大葱,安徽,none,2018-08-11,蔬菜,元/斤
华东,1.85,none,2018-08-25,马鞍山市安民农副产品批发交易中心,2.00,1.70,大葱,安徽,none,2018-08-09,蔬菜,元/斤
华东,1.95,none,2018-08-25,马鞍山市安民农副产品批发交易中心,2.00,1.90,大葱,安徽,none,2018-08-08,蔬菜,元/斤
华东,1.85,none,2018-08-25,马鞍山市安民农副产品批发交易中心,1.90,1.80,大葱,安徽,none,2018-08-07,蔬菜,元/斤
华东,1.75,none,2018-08-25,马鞍山市安民农副产品批发交易中心,1.80,1.70,大葱,安徽,none,2018-08-06,蔬菜,元/斤
华东,1.75,none,2018-08-25,马鞍山市安民农副产品批发交易中心,1.80,1.70,大葱,安徽,none,2018-08-05,蔬菜,元/斤
华东,1.65,none,2018-08-25,马鞍山市安民农副产品批发交易中心,1.75,1.50,大葱,安徽,none,2018-08-04,蔬菜,元/斤
华东,1.65,none,2018-08-25,马鞍山市安民农副产品批发交易中心,1.80,1.50,大葱,安徽,none,2018-08-03,蔬菜,元/斤
华东,1.75,none,2018-08-25,马鞍山市安民农副产品批发交易中心,1.80,1.70,大葱,安徽,none,2018-08-02,蔬菜,元/斤
华东,1.45,none,2018-08-25,马鞍山市安民农副产品批发交易中心,1.70,1.20,大葱,安徽,none,2018-08-01,蔬菜,元/斤
华东,1.30,none,2018-08-25,马鞍山市安民农副产品批发交易中心,1.60,1.00,大葱,安徽,none,2018-07-31,蔬菜,元/斤
华东,1.35,none,2018-08-25,马鞍山市安民农副产品批发交易中心,1.40,1.30,大葱,安徽,none,2018-07-15,蔬菜,元/斤
华东,1.30,none,2018-08-25,马鞍山市安民农副产品批发交易中心,1.40,1.20,大葱,安徽,none,2018-07-14,蔬菜,元/斤
华东,1.40,none,2018-08-25,马鞍山市安民农副产品批发交易中心,1.50,1.30,大葱,安徽,none,2018-07-07,蔬菜,元/斤
华东,1.25,none,2018-08-25,马鞍山市安民农副产品批发交易中心,1.50,1.00,大葱,安徽,none,2018-07-01,蔬菜,元/斤
华东,1.40,none,2018-08-25,马鞍山市安民农副产品批发交易中心,1.50,1.30,大葱,安徽,none,2018-06-23,蔬菜,元/斤
华东,1.50,none,2018-08-25,马鞍山市安民农副产品批发交易中心,1.60,1.40,大葱,安徽,none,2018-06-10,蔬菜,元/斤
华东,1.25,none,2018-08-25,马鞍山市安民农副产品批发交易中心,1.50,1.00,大葱,安徽,none,2018-06-03,蔬菜,元/斤
华东,1.55,none,2018-08-25,马鞍山市安民农副产品批发交易中心,1.70,1.40,大葱,安徽,none,2018-05-29,蔬菜,元/斤
华东,1.40,none,2018-08-25,马鞍山市安民农副产品批发交易中心,1.50,1.30,大葱,安徽,none,2018-05-25,蔬菜,元/斤
华东,1.50,none,2018-08-25,马鞍山市安民农副产品批发交易中心,1.60,1.40,大葱,安徽,none,2018-05-24,蔬菜,元/斤
华东,1.40,none,2018-08-25,马鞍山市安民农副产品批发交易中心,1.75,1.00,韭菜,安徽,none,2018-08-18,蔬菜,元/斤
华东,1.50,none,2018-08-25,马鞍山市安民农副产品批发交易中心,2.00,1.00,韭菜,安徽,none,2018-08-15,蔬菜,元/斤
华东,1.25,none,2018-08-25,马鞍山市安民农副产品批发交易中心,1.50,1.00,韭菜,安徽,none,2018-08-13,蔬菜,元/斤
华东,1.50,none,2018-08-25,马鞍山市安民农副产品批发交易中心,2.00,1.00,韭菜,安徽,none,2018-08-12,蔬菜,元/斤
