area,avgPrice,color,entertime,market,maxPrice,minPrice,name,province,standard,time,typy,unit
华中,4.00,none,2018-08-25,黄石农产品中心批发市场,5.00,2.50,韭菜,湖北,none,2018-08-03,蔬菜,元/斤
华中,2.50,none,2018-08-25,黄石农产品中心批发市场,3.00,2.00,韭菜,湖北,none,2018-03-02,蔬菜,元/斤
华中,2.80,none,2018-08-25,黄石农产品中心批发市场,3.00,2.00,韭菜,湖北,none,2018-02-09,蔬菜,元/斤
华中,2.50,none,2018-08-25,黄石农产品中心批发市场,3.00,2.00,韭菜,湖北,none,2018-02-02,蔬菜,元/斤
华中,2.60,none,2018-08-25,黄石农产品中心批发市场,3.00,2.00,韭菜,湖北,none,2018-01-19,蔬菜,元/斤
华中,3.50,none,2018-08-25,黄石农产品中心批发市场,4.00,2.50,韭菜,湖北,none,2018-01-12,蔬菜,元/斤
华中,2.80,none,2018-08-25,黄石农产品中心批发市场,3.00,2.00,韭菜,湖北,none,2017-12-22,蔬菜,元/斤
华中,2.50,none,2018-08-25,黄石农产品中心批发市场,3.00,2.00,韭菜,湖北,none,2017-12-08,蔬菜,元/斤
华中,2.60,none,2018-08-25,黄石农产品中心批发市场,3.00,2.00,韭菜,湖北,none,2017-12-01,蔬菜,元/斤
华中,3.00,none,2018-08-25,黄石农产品中心批发市场,3.50,2.00,韭菜,湖北,none,2017-11-17,蔬菜,元/斤
华中,3.00,none,2018-08-25,黄石农产品中心批发市场,3.50,2.50,韭菜,湖北,none,2017-11-13,蔬菜,元/斤
华中,2.60,none,2018-08-25,黄石农产品中心批发市场,3.00,2.00,韭菜,湖北,none,2017-11-03,蔬菜,元/斤
华中,3.50,none,2018-08-25,黄石农产品中心批发市场,4.00,2.00,韭菜,湖北,none,2017-10-27,蔬菜,元/斤
华中,2.00,none,2018-08-25,黄石农产品中心批发市场,2.20,1.50,韭菜,湖北,none,2017-10-20,蔬菜,元/斤
华中,2.00,none,2018-08-25,黄石农产品中心批发市场,2.20,1.50,韭菜,湖北,none,2017-10-13,蔬菜,元/斤
华中,3.30,none,2018-08-25,黄石农产品中心批发市场,3.50,2.50,韭菜,湖北,none,2017-10-09,蔬菜,元/斤
华中,2.50,none,2018-08-25,黄石农产品中心批发市场,3.00,2.00,韭菜,湖北,none,2017-09-30,蔬菜,元/斤
华中,3.10,none,2018-08-25,黄石农产品中心批发市场,3.50,2.50,韭菜,湖北,none,2017-09-29,蔬菜,元/斤
华中,2.50,none,2018-08-25,黄石农产品中心批发市场,3.00,1.50,韭菜,湖北,none,2017-09-22,蔬菜,元/斤
华中,2.00,none,2018-08-25,黄石农产品中心批发市场,2.50,1.50,韭菜,湖北,none,2017-09-08,蔬菜,元/斤
华中,2.50,none,2018-08-25,黄石农产品中心批发市场,3.00,1.50,韭菜,湖北,none,2017-08-18,蔬菜,元/斤
华中,1.80,none,2018-08-25,黄石农产品中心批发市场,2.00,1.00,韭菜,湖北,none,2017-06-30,蔬菜,元/斤
华中,1.00,none,2018-08-25,黄石农产品中心批发市场,1.50,0.80,韭菜,湖北,none,2017-06-08,蔬菜,元/斤
华中,1.60,none,2018-08-25,黄石农产品中心批发市场,2.00,1.00,韭菜,湖北,none,2017-05-12,蔬菜,元/斤
华中,1.30,none,2018-08-25,黄石农产品中心批发市场,1.50,1.00,韭菜,湖北,none,2017-05-05,蔬菜,元/斤
华中,2.00,none,2018-08-25,黄石农产品中心批发市场,2.50,1.50,青椒,湖北,none,2018-08-03,蔬菜,元/斤
华中,2.80,none,2018-08-25,黄石农产品中心批发市场,3.00,2.00,青椒,湖北,none,2018-02-09,蔬菜,元/斤
华中,3.00,none,2018-08-25,黄石农产品中心批发市场,3.50,2.50,青椒,湖北,none,2018-02-02,蔬菜,元/斤
华中,3.50,none,2018-08-25,黄石农产品中心批发市场,4.00,2.50,青椒,湖北,none,2018-01-19,蔬菜,元/斤
华中,1.30,none,2018-08-25,黄石农产品中心批发市场,1.50,1.00,青椒,湖北,none,2017-12-08,蔬菜,元/斤
华中,2.50,none,2018-08-25,黄石农产品中心批发市场,3.00,1.50,青椒,湖北,none,2017-12-01,蔬菜,元/斤
华中,1.60,none,2018-08-25,黄石农产品中心批发市场,2.00,1.00,青椒,湖北,none,2017-11-03,蔬菜,元/斤
华中,1.60,none,2018-08-25,黄石农产品中心批发市场,2.00,1.00,青椒,湖北,none,2017-10-20,蔬菜,元/斤
华中,2.50,none,2018-08-25,黄石农产品中心批发市场,3.50,1.50,青椒,湖北,none,2017-10-09,蔬菜,元/斤
华中,2.00,none,2018-08-25,黄石农产品中心批发市场,2.30,1.50,青椒,湖北,none,2017-09-30,蔬菜,元/斤
华中,2.30,none,2018-08-25,黄石农产品中心批发市场,2.80,1.50,青椒,湖北,none,2017-09-29,蔬菜,元/斤
华中,2.00,none,2018-08-25,黄石农产品中心批发市场,2.50,1.50,青椒,湖北,none,2017-09-22,蔬菜,元/斤
华中,2.50,none,2018-08-25,黄石农产品中心批发市场,3.00,2.00,青椒,湖北,none,2017-09-08,蔬菜,元/斤
华中,0.50,none,2018-08-25,黄石农产品中心批发市场,0.60,0.40,青椒,湖北,none,2017-06-30,蔬菜,元/斤
华中,1.00,none,2018-08-25,黄石农产品中心批发市场,1.30,0.50,青椒,湖北,none,2017-06-08,蔬菜,元/斤
华中,2.00,none,2018-08-25,黄石农产品中心批发市场,2.50,1.00,青椒,湖北,none,2017-05-12,蔬菜,元/斤
华中,1.30,none,2018-08-25,黄石农产品中心批发市场,1.60,1.00,青椒,湖北,none,2017-05-05,蔬菜,元/斤
华中,2.00,none,2018-08-25,黄石农产品中心批发市场,2.50,1.50,青椒,湖北,none,2017-04-28,蔬菜,元/斤
华中,2.00,none,2018-08-25,黄石农产品中心批发市场,2.50,1.50,青椒,湖北,none,2017-04-25,蔬菜,元/斤
