area,avgPrice,color,entertime,market,maxPrice,minPrice,name,province,standard,time,typy,unit
东北,1.50,none,2018-08-28,黑龙江鹤岗市万圃源蔬菜有限责任公司,1.50,1.50,油菜,黑龙江,none,2018-08-25,蔬菜,元/斤
东北,1.50,none,2018-08-28,黑龙江鹤岗市万圃源蔬菜有限责任公司,1.50,1.50,油菜,黑龙江,none,2018-08-24,蔬菜,元/斤
东北,1.50,none,2018-08-28,黑龙江鹤岗市万圃源蔬菜有限责任公司,1.50,1.50,油菜,黑龙江,none,2018-08-23,蔬菜,元/斤
东北,1.50,none,2018-08-28,黑龙江鹤岗市万圃源蔬菜有限责任公司,1.50,1.50,油菜,黑龙江,none,2018-08-22,蔬菜,元/斤
东北,1.50,none,2018-08-28,黑龙江鹤岗市万圃源蔬菜有限责任公司,1.50,1.50,油菜,黑龙江,none,2018-08-21,蔬菜,元/斤
东北,1.50,none,2018-08-28,黑龙江鹤岗市万圃源蔬菜有限责任公司,1.50,1.50,油菜,黑龙江,none,2018-08-20,蔬菜,元/斤
东北,1.50,none,2018-08-28,黑龙江鹤岗市万圃源蔬菜有限责任公司,1.50,1.50,油菜,黑龙江,none,2018-08-18,蔬菜,元/斤
东北,1.50,none,2018-08-28,黑龙江鹤岗市万圃源蔬菜有限责任公司,1.50,1.50,油菜,黑龙江,none,2018-08-17,蔬菜,元/斤
东北,1.50,none,2018-08-28,黑龙江鹤岗市万圃源蔬菜有限责任公司,1.50,1.50,油菜,黑龙江,none,2018-08-15,蔬菜,元/斤
东北,3.50,none,2018-08-28,黑龙江鹤岗市万圃源蔬菜有限责任公司,3.50,3.50,油菜,黑龙江,none,2018-08-13,蔬菜,元/斤
东北,3.50,none,2018-08-28,黑龙江鹤岗市万圃源蔬菜有限责任公司,3.50,3.50,油菜,黑龙江,none,2018-08-12,蔬菜,元/斤
东北,3.50,none,2018-08-28,黑龙江鹤岗市万圃源蔬菜有限责任公司,3.50,3.50,油菜,黑龙江,none,2018-08-11,蔬菜,元/斤
东北,3.50,none,2018-08-28,黑龙江鹤岗市万圃源蔬菜有限责任公司,3.50,3.50,油菜,黑龙江,none,2018-08-09,蔬菜,元/斤
东北,4.00,none,2018-08-28,黑龙江鹤岗市万圃源蔬菜有限责任公司,4.00,4.00,油菜,黑龙江,none,2018-08-08,蔬菜,元/斤
东北,4.00,none,2018-08-28,黑龙江鹤岗市万圃源蔬菜有限责任公司,4.00,4.00,油菜,黑龙江,none,2018-08-07,蔬菜,元/斤
