area,avgPrice,color,entertime,market,maxPrice,minPrice,name,province,standard,time,typy,unit
西北,1.25,none,2018-08-23,新疆兵团农五师三和农副产品综合批发市场,0.00,1.00,黄瓜,新疆,none,2018-08-15,蔬菜,元/斤
西北,1.25,none,2018-08-23,新疆兵团农五师三和农副产品综合批发市场,0.00,1.00,黄瓜,新疆,none,2018-08-08,蔬菜,元/斤
西北,1.25,none,2018-08-23,新疆兵团农五师三和农副产品综合批发市场,0.00,1.00,黄瓜,新疆,none,2018-08-07,蔬菜,元/斤
西北,1.25,none,2018-08-23,新疆兵团农五师三和农副产品综合批发市场,0.00,1.00,黄瓜,新疆,none,2018-08-06,蔬菜,元/斤
西北,1.25,none,2018-08-23,新疆兵团农五师三和农副产品综合批发市场,0.00,1.00,黄瓜,新疆,none,2018-08-03,蔬菜,元/斤
西北,1.25,none,2018-08-23,新疆兵团农五师三和农副产品综合批发市场,0.00,1.00,黄瓜,新疆,none,2018-08-02,蔬菜,元/斤
西北,1.25,none,2018-08-23,新疆兵团农五师三和农副产品综合批发市场,0.00,1.00,黄瓜,新疆,none,2018-08-01,蔬菜,元/斤
西北,1.25,none,2018-08-23,新疆兵团农五师三和农副产品综合批发市场,0.00,1.00,黄瓜,新疆,none,2018-07-31,蔬菜,元/斤
西北,2.25,none,2018-08-23,新疆兵团农五师三和农副产品综合批发市场,0.00,2.00,黄瓜,新疆,none,2018-05-29,蔬菜,元/斤
西北,2.25,none,2018-08-23,新疆兵团农五师三和农副产品综合批发市场,0.00,2.00,黄瓜,新疆,none,2018-05-25,蔬菜,元/斤
西北,2.25,none,2018-08-23,新疆兵团农五师三和农副产品综合批发市场,0.00,2.00,黄瓜,新疆,none,2018-05-24,蔬菜,元/斤
西北,2.25,none,2018-08-23,新疆兵团农五师三和农副产品综合批发市场,0.00,2.00,黄瓜,新疆,none,2018-05-20,蔬菜,元/斤
