area,avgPrice,color,entertime,market,maxPrice,minPrice,name,province,standard,time,typy,unit
华南,1.30,none,2018-08-23,海口南北蔬菜批发市场有限公司,0.00,0.00,韭菜,海南,none,2018-05-06,蔬菜,元/斤
华南,1.30,none,2018-08-23,海口南北蔬菜批发市场有限公司,0.00,0.00,韭菜,海南,none,2018-05-03,蔬菜,元/斤
华南,1.10,none,2018-08-23,海口南北蔬菜批发市场有限公司,0.00,0.00,韭菜,海南,none,2018-05-02,蔬菜,元/斤
华南,1.10,none,2018-08-23,海口南北蔬菜批发市场有限公司,0.00,0.00,韭菜,海南,none,2018-04-27,蔬菜,元/斤
华南,1.00,none,2018-08-23,海口南北蔬菜批发市场有限公司,0.00,0.00,韭菜,海南,none,2018-04-26,蔬菜,元/斤
华南,1.00,none,2018-08-23,海口南北蔬菜批发市场有限公司,0.00,0.00,韭菜,海南,none,2018-04-25,蔬菜,元/斤
华南,1.50,none,2018-08-23,海口南北蔬菜批发市场有限公司,0.00,0.00,韭菜,海南,none,2018-04-24,蔬菜,元/斤
华南,1.20,none,2018-08-23,海口南北蔬菜批发市场有限公司,0.00,0.00,韭菜,海南,none,2018-04-20,蔬菜,元/斤
华南,1.20,none,2018-08-23,海口南北蔬菜批发市场有限公司,0.00,0.00,韭菜,海南,none,2018-04-19,蔬菜,元/斤
华南,1.20,none,2018-08-23,海口南北蔬菜批发市场有限公司,0.00,0.00,韭菜,海南,none,2018-04-17,蔬菜,元/斤
华南,1.00,none,2018-08-23,海口南北蔬菜批发市场有限公司,0.00,0.00,韭菜,海南,none,2018-04-16,蔬菜,元/斤
华南,1.00,none,2018-08-23,海口南北蔬菜批发市场有限公司,0.00,0.00,韭菜,海南,none,2018-04-13,蔬菜,元/斤
华南,1.10,none,2018-08-23,海口南北蔬菜批发市场有限公司,0.00,0.00,韭菜,海南,none,2018-04-12,蔬菜,元/斤
华南,1.20,none,2018-08-23,海口南北蔬菜批发市场有限公司,0.00,0.00,韭菜,海南,none,2018-04-06,蔬菜,元/斤
华南,1.00,none,2018-08-23,海口南北蔬菜批发市场有限公司,0.00,0.00,韭菜,海南,none,2018-03-30,蔬菜,元/斤
华南,1.00,none,2018-08-23,海口南北蔬菜批发市场有限公司,0.00,0.00,韭菜,海南,none,2018-03-29,蔬菜,元/斤
华南,1.00,none,2018-08-23,海口南北蔬菜批发市场有限公司,0.00,0.00,韭菜,海南,none,2018-03-28,蔬菜,元/斤
华南,1.10,none,2018-08-23,海口南北蔬菜批发市场有限公司,0.00,0.00,韭菜,海南,none,2018-03-26,蔬菜,元/斤
华南,1.10,none,2018-08-23,海口南北蔬菜批发市场有限公司,0.00,0.00,韭菜,海南,none,2018-03-23,蔬菜,元/斤
华南,1.00,none,2018-08-23,海口南北蔬菜批发市场有限公司,0.00,0.00,韭菜,海南,none,2018-03-22,蔬菜,元/斤
华南,1.00,none,2018-08-23,海口南北蔬菜批发市场有限公司,0.00,0.00,韭菜,海南,none,2018-03-19,蔬菜,元/斤
华南,1.10,none,2018-08-23,海口南北蔬菜批发市场有限公司,0.00,0.00,韭菜,海南,none,2018-03-15,蔬菜,元/斤
华南,1.40,none,2018-08-23,海口南北蔬菜批发市场有限公司,0.00,0.00,韭菜,海南,none,2018-03-13,蔬菜,元/斤
华南,1.40,none,2018-08-23,海口南北蔬菜批发市场有限公司,0.00,0.00,韭菜,海南,none,2018-03-12,蔬菜,元/斤
华南,1.10,none,2018-08-23,海口南北蔬菜批发市场有限公司,0.00,0.00,韭菜,海南,none,2018-03-09,蔬菜,元/斤
华南,2.50,none,2018-08-23,海口南北蔬菜批发市场有限公司,0.00,0.00,青椒,海南,none,2018-05-06,蔬菜,元/斤
华南,2.10,none,2018-08-23,海口南北蔬菜批发市场有限公司,0.00,0.00,青椒,海南,none,2018-05-03,蔬菜,元/斤
华南,2.00,none,2018-08-23,海口南北蔬菜批发市场有限公司,0.00,0.00,青椒,海南,none,2018-05-02,蔬菜,元/斤
华南,2.00,none,2018-08-23,海口南北蔬菜批发市场有限公司,0.00,0.00,青椒,海南,none,2018-04-27,蔬菜,元/斤
华南,2.00,none,2018-08-23,海口南北蔬菜批发市场有限公司,0.00,0.00,青椒,海南,none,2018-04-26,蔬菜,元/斤
华南,2.00,none,2018-08-23,海口南北蔬菜批发市场有限公司,0.00,0.00,青椒,海南,none,2018-04-25,蔬菜,元/斤
华南,2.10,none,2018-08-23,海口南北蔬菜批发市场有限公司,0.00,0.00,青椒,海南,none,2018-04-24,蔬菜,元/斤
华南,1.50,none,2018-08-23,海口南北蔬菜批发市场有限公司,0.00,0.00,青椒,海南,none,2018-04-20,蔬菜,元/斤
华南,1.50,none,2018-08-23,海口南北蔬菜批发市场有限公司,0.00,0.00,青椒,海南,none,2018-04-19,蔬菜,元/斤
华南,1.70,none,2018-08-23,海口南北蔬菜批发市场有限公司,0.00,0.00,青椒,海南,none,2018-04-16,蔬菜,元/斤
华南,1.70,none,2018-08-23,海口南北蔬菜批发市场有限公司,0.00,0.00,青椒,海南,none,2018-04-13,蔬菜,元/斤
